"","(Intercept)","scale(annual_precipitation)","scale(mean_temperature)","scale(Percent_of_forest_cover_1km)","scale(Human_modification_1km)","scale(Patch_density_1km)","scale(Edge_density_1km)","riverOriginoutsideGLGS","Regional_DivisionNorthwest","Regional_DivisionSouthwest","riverdy","riverlc","rivernu"
"32",1,-1.72180378338472,-0.338781953385709,-1.12257473054827,1.35980284586355,-0.94853131866099,-0.397005496929647,1,0,1,0,0,1
"33",1,-0.656239877333855,1.20563802429171,-0.879838068882647,0.971655587985797,1.96167782162259,2.68322403169667,1,0,1,0,0,1
"34",1,-0.925321671791144,0.829627340539698,-1.01813944268152,1.48627546968779,1.74894665815165,1.24651609373712,1,0,0,0,0,1
"35",1,-0.376394811098274,1.11731330533367,-1.61086664171757,0.856135823456365,2.6424175447296,1.11590596328461,0,0,0,0,0,1
"36",1,-1.14596874324612,0.335009150226986,-0.318161441646045,0.603816756717175,1.96167782162259,1.40978137956637,0,0,0,0,0,1
"37",1,-0.424829534100586,1.07693632739651,-1.74634666134354,0.711450887083773,1.30221121486268,0.0274800498046382,0,0,0,0,0,1
"38",1,0.264019859710073,0.892716342995791,-1.31732777744838,1.16161658807124,1.51494237833362,0.680534199085363,1,0,0,0,0,1
"39",1,-0.0642599295278193,0.491469966808402,0.514477683806797,0.455411881213932,1.74894665815165,0.75672373326751,0,0,0,0,0,1
"40",1,0.0810442394791167,0.549511801897548,-0.07824644152387,0.230671307573159,1.06820693504464,1.18121277701993,0,0,0,0,0,1
"41",1,-0.182655919089026,0.259302265453375,0.539881858813968,-0.158898123895197,0.387467211937632,0.484617254897518,1,0,0,0,0,1
"42",1,-0.144984467865006,0.138171283508746,0.0148960527583225,-0.105847864994893,1.51494237833362,1.98664599466495,1,0,0,0,0,1
"43",1,0.124097326592283,0.165930427261506,0.170133543228644,-0.354972347773096,-0.0508547240471636,0.724072074908915,0,0,0,0,0,1
"44",1,0.366270941603843,-0.109137775547762,0.189891321443538,0.662815734255795,0.387467211937632,1.63834998211281,1,0,0,0,0,1
"45",1,0.145623870148866,-0.237839496509538,0.367708251672199,-0.573026582890873,1.06820693504464,0.745841012820691,1,0,0,0,0,1
"46",1,-1.11906056380039,-1.26745280693894,0.39028769143054,-1.24482317944414,0.855475771573702,0.702303136997139,0,0,0,0,0,1
"47",1,-0.62395006199898,-0.924248386173513,-0.48186699045209,-0.959438576723371,1.30221121486268,2.20434236781899,0,0,0,0,0,1
"48",1,-1.01680948190662,-1.04033215261804,0.810841283324822,-1.35005288125139,-0.49969193217052,-0.930335733222811,0,0,0,0,0,1
"49",1,-0.333341723985108,-0.815735142147045,0.731810170465246,-0.366604454155958,-0.275273240974157,0.0274800498046382,0,0,0,0,0,1
"50",1,-1.75947523460874,-2.19107649613355,1.07051098795651,-1.35734152090325,-1.62179140044557,-1.48543141040961,0,1,0,0,0,0
"51",1,0.603062920726257,-1.10594481095731,0.937852937244525,-1.30790825274681,-0.49969193217052,-0.54938456529394,1,1,0,0,0,0
"52",1,1.19504286853229,-0.936866148158248,0.96890043533859,-1.34670758934274,-0.94853131866099,-0.875911639934302,0,1,0,0,0,0
"53",1,1.10893669430596,-0.994908103580208,1.03381709307016,-1.34582934408437,-0.94853131866099,-1.27863069666951,0,1,0,0,0,0
"54",1,-2.13618974684894,-2.60998777610189,0.906805439150461,-1.36380285882832,-0.724112714599312,-0.636460316941044,1,1,0,0,0,0
"55",1,-2.13618974684894,-2.62260556516149,0.810841283324822,-1.32054861652599,-0.724112714599312,-0.331698683194319,1,1,0,0,0,0
"56",1,-2.13618974684894,-2.62260556516149,0.881404337848674,-1.32054861652599,-0.94853131866099,-0.527615627382164,0,1,0,0,0,0
"57",1,-1.34508927114451,-1.86048987646099,1.03381709307016,-1.31373491917399,-0.275273240974157,-1.05005964621037,0,1,0,0,0,0
"58",1,-1.45272198892743,-1.95890874363708,0.95761071545942,-1.31212701395775,-0.724112714599312,-0.647343037387862,0,1,0,0,0,0
"59",1,-1.24283818925074,-1.90339042003171,0.878579602599843,-1.31041297638399,-0.275273240974157,-0.571153503205716,0,1,0,0,0,0
"60",1,-0.564752067218377,-1.67626983791051,0.810841283324822,-1.30835400864834,0.387467211937632,0.190745335633889,0,1,0,0,0,0
"61",1,0.145623870148866,-1.38353660948335,0.856000162841503,-1.35630248512324,-0.0508547240471636,-0.309933242300681,0,1,0,0,0,0
"62",1,1.02283052007963,-0.891441966754264,0.926563217365355,-1.31698787593161,-0.724112714599312,-0.745301509481785,0,1,0,0,0,0
"63",1,2.19064550802426,-0.63656227698015,1.04793154819817,-1.44847260033916,-1.17295205752244,-1.26774622771362,0,1,0,0,0,0
"64",1,2.67499273804738,-0.475054341164938,1.03099543152672,-1.38436653375726,-0.275273240974157,-1.0827148015871,0,1,0,0,0,0
"65",1,1.59328392432908,-0.722363303955176,0.935031275701079,-1.33246197365625,-1.17295205752244,-0.799722105752156,0,1,0,0,0,0
"66",1,0.882907986961838,-1.03276152190044,0.918095159029631,-1.34257479534139,-0.94853131866099,-0.690880913211414,1,1,0,0,0,0
"67",1,-0.317196816317671,-0.36906471692179,0.932209614157633,-0.227236748894509,-0.724112714599312,-0.821491043663932,1,0,0,0,0,1
